S,D1,D2,D3,D4,D5,D6,D7,C
R,0,0,0,27.1,0,0,0,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,202.92,570.32,644.83,160.34,195.98,N
R,0,0,0,0,0,0,0,Y
R,0,10.66,0.24,0,0,0,0,N
R,0,0,0,0,0,0,0,Y
R,0,0,53.1,0,0,0,11.24,N
R,0,0,0,0,64.75,21.77,0,N
R,47.81,6369.31,7123.24,4632.89,1330.19,0,133.91,N
R,1.63,0,0,0,0,0,0,N
R,38.23,173.47,400.2,202.96,151.16,140.16,612.26,N
R,0,7.49,0,0,0,39.15,18.74,N
R,0,0,0,0,0,0,169.72,N
R,0,0,0,0,0,0,0,Y
R,0,16.49,5.26,24,24,16.5,0,N
R,0,0,62.43,22.33,200.13,106.13,0,N
R,1065.36,598.76,1529.63,998.87,854.69,0,697.93,N
R,53.13,25.87,15.66,30.71,28.37,29.05,40.29,N
R,0,8.05,0.83,1.57,1.9,7.14,6.35,N
F,0,0,0,0,0,0,0,Y
R,0,0,0,225.54,2287.52,1.5,22.49,N
R,1.08,0,0,0,401.2,0,0,N
R,0,0,0,0,0,0,0,Y
R,16.93,196.23,57.08,0,75.24,144.56,417.52,N
R,0,0,0,0,0,0,0,Y
R,100.35,49.49,18.9,21.29,17.64,19.88,16.01,N
R,0,0,18.74,0,26.22,0,0,N
R,0,0,6.24,2.88,1.78,4.52,9.59,N
R,0,11.25,7.5,14.16,7.5,0.5,0.96,N
R,1.28,0,0,0,9.93,74.82,160.98,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,33.52,347.88,321.59,280.96,N
R,0,0,0,0,0,0,0,Y
R,141.21,0,0,143.18,72.83,132.73,0,N
R,0,0,0,0,0,0,0,Y
F,0,0,0,0.28,0,0,0,N
R,0,16.5,0,0,27.74,53,0,N
R,0,0,0,0,0,0,0,Y
R,64.94,28.07,4.88,2.3,34.69,201.67,388.4,N
F,0,0,0,0,0,0,0,Y
R,57.11,1047.23,1308.72,1705.73,741.26,430.57,687.64,N
R,0,0,0,0,0,0,0,Y
R,0,0,3.04,0,0,0,0,N
R,48.7,30.73,14.98,56.19,24.74,15.06,0,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,60,63.75,48.92,15,41.25,4.56,0,N
R,24.37,32.78,1.61,11.29,4.75,15.97,0.68,N
R,59.96,0,14.99,18.74,12.74,0,0,N
R,0,20058.67,19984.79,32595.53,43877.99,47544.56,116983.2,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,1816.45,N
R,0,0,0,0,0,0,0,Y
R,26.24,14.99,0,0,0,0,0,N
R,136.06,12.16,50.07,60.99,82.42,126.54,67.3,N
R,0,0,0,0,0,0,0,Y
R,10766.55,9398.73,6969.58,798.09,0,1468.89,8840.07,N
R,0,0,0,0,0,0,0,Y
R,2792.79,939.54,1209.18,830.9,333.26,672.48,2106.24,N
R,0,0,0,0,0,0,0,Y
R,1400.01,0,0,0,0,0,182.79,N
R,0,0,2016.57,0,0,0,10466.63,N
R,0,0,87.01,3,0,0,0,N
R,123.19,6.24,0,39.76,11.33,102.68,33.95,N
R,0,0,0,4.88,1.08,0,0,N
R,0,0,828.28,8.27,265.76,27.25,616.86,N
R,0,0,0,7.49,211.1,0,0,N
R,0,0,12.83,11.25,0,0,6.72,N
R,0,0,0,0,0,0,0,Y
PF,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,2.28,3.01,0,3.16,0,3.69,0,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,1083.79,344.94,1146.38,0,1869.92,1769.78,1900.67,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,7.5,30,65.25,11.25,0,11.25,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,4200.71,3633.1,12830.96,5284.14,6260.66,6332.78,4624.04,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
